,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
"arCOG00144@1|root,arCOG00144@2157|Archaea,2XWMT@28890|Euryarchaeota",4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0
"arCOG07611@1|root,arCOG07611@2157|Archaea",3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0
"COG1719@1|root,arCOG01688@2157|Archaea,2XYSH@28890|Euryarchaeota,23P5X@183925|Methanobacteria",3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
"COG0784@1|root,COG3920@1|root,arCOG02335@2157|Archaea,arCOG02386@2157|Archaea",3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0
"COG0426@1|root,arCOG00509@2157|Archaea,2XSUD@28890|Euryarchaeota,23PC4@183925|Methanobacteria",3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
"COG1592@1|root,arCOG01097@2157|Archaea,2XX3D@28890|Euryarchaeota,23PQ8@183925|Methanobacteria",3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
"COG2036@1|root,arCOG02144@2157|Archaea,2XZYK@28890|Euryarchaeota,23PT2@183925|Methanobacteria",3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
"arCOG10162@1|root,arCOG10162@2157|Archaea",3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0
"COG0500@1|root,arCOG03411@2157|Archaea,2XVFA@28890|Euryarchaeota",3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
"arCOG10259@1|root,arCOG10259@2157|Archaea",3.0,0.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0
"arCOG02879@1|root,arCOG02879@2157|Archaea",3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0
"COG3315@1|root,arCOG03588@2157|Archaea",3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"COG0589@1|root,arCOG02053@2157|Archaea,2XXRS@28890|Euryarchaeota",3.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,2.0,0.0
"arCOG12739@1|root,arCOG12739@2157|Archaea",3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0
"COG0489@1|root,arCOG00585@2157|Archaea,2XTU2@28890|Euryarchaeota,23NNY@183925|Methanobacteria",3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
"COG4713@1|root,arCOG10204@2157|Archaea,2Y4AJ@28890|Euryarchaeota,23PN9@183925|Methanobacteria",3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
"arCOG13996@1|root,arCOG13996@2157|Archaea",3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0
"arCOG02348@1|root,arCOG02348@2157|Archaea",3.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0
"COG0589@1|root,arCOG02053@2157|Archaea,2XX8Y@28890|Euryarchaeota",3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
"COG1216@1|root,arCOG07799@1|root,arCOG01384@2157|Archaea,arCOG07799@2157|Archaea,2XYY7@28890|Euryarchaeota,23PCV@183925|Methanobacteria",3.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0
"arCOG10205@1|root,arCOG10205@2157|Archaea",3.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0
"arCOG07791@1|root,arCOG07791@2157|Archaea,2XYMJ@28890|Euryarchaeota,23P2R@183925|Methanobacteria",3.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
"arCOG10883@1|root,arCOG10883@2157|Archaea",3.0,3.0,8.0,2.0,0.0,3.0,1.0,5.0,3.0,5.0,4.0,8.0,3.0,2.0
"COG0794@1|root,arCOG00068@2157|Archaea,2XX86@28890|Euryarchaeota,23PEX@183925|Methanobacteria",3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
"COG0071@1|root,arCOG01832@2157|Archaea",3.0,4.0,3.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0
"arCOG10257@1|root,arCOG10257@2157|Archaea",3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0
"COG1846@1|root,arCOG03182@2157|Archaea,2Y172@28890|Euryarchaeota",3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
"arCOG10459@1|root,arCOG10948@2157|Archaea",3.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0
"COG1695@1|root,arCOG00001@2157|Archaea",3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
"COG0455@1|root,arCOG00589@2157|Archaea,2XT20@28890|Euryarchaeota",3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0
"COG0243@1|root,arCOG01492@2157|Archaea,2Y8AB@28890|Euryarchaeota",3.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0
"arCOG00142@1|root,arCOG00142@2157|Archaea,2XWCN@28890|Euryarchaeota,23PCP@183925|Methanobacteria",3.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0
"COG0596@1|root,arCOG01648@2157|Archaea,2XVXV@28890|Euryarchaeota,23PSC@183925|Methanobacteria",3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0
"COG2244@1|root,arCOG02209@2157|Archaea,2XXMT@28890|Euryarchaeota",3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"COG3420@1|root,arCOG02519@2157|Archaea,2Y400@28890|Euryarchaeota,23PNZ@183925|Methanobacteria",3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
"COG1035@1|root,arCOG02653@2157|Archaea,2XUJW@28890|Euryarchaeota",3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
"arCOG10373@1|root,arCOG10373@2157|Archaea,2Y5EG@28890|Euryarchaeota,23PWK@183925|Methanobacteria",3.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
"arCOG03593@1|root,arCOG03593@2157|Archaea",3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"COG1581@1|root,arCOG01753@2157|Archaea,2XZH4@28890|Euryarchaeota,23PPK@183925|Methanobacteria",3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"arCOG02555@1|root,arCOG02555@2157|Archaea",3.0,6.0,5.0,6.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0
"COG1122@1|root,arCOG00203@2157|Archaea,2Y7N4@28890|Euryarchaeota,23NVA@183925|Methanobacteria",3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0
"arCOG10346@1|root,arCOG10346@2157|Archaea",3.0,2.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0
"arCOG03714@1|root,arCOG03714@2157|Archaea",3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0
"COG4742@1|root,arCOG04362@2157|Archaea,2XYCM@28890|Euryarchaeota,23PSY@183925|Methanobacteria",3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0
"COG1672@1|root,arCOG03169@2157|Archaea,2Y162@28890|Euryarchaeota,23PG9@183925|Methanobacteria",3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
"COG0586@1|root,arCOG03117@2157|Archaea",3.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0
"COG0348@1|root,arCOG02772@2157|Archaea,2Y033@28890|Euryarchaeota,23PTT@183925|Methanobacteria",3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
"COG3271@1|root,arCOG06761@2157|Archaea",3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
"arCOG03886@1|root,arCOG03886@2157|Archaea",3.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
