,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
"ko00000,ko02035,ko02044",4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
"ko00000,ko02048",4.0,0.0,3.0,0.0,5.0,4.0,0.0,6.0,8.0,6.0,6.0,3.0,5.0,6.0
"ko00000,ko01000,ko03110",4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"ko00000,ko03400",4.0,6.0,4.0,6.0,5.0,7.0,5.0,7.0,5.0,7.0,8.0,4.0,7.0,5.0
"ko00000,ko01000,ko03009",4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
"ko00000,ko01000,ko03012",4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
"ko00000,ko00001,ko01000,ko03009,ko03016,ko03029",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"ko00000,ko00001,ko01000,ko01003",3.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0
"br01601,ko00000,ko00001,ko01000",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
"ko00000,ko01000,ko01003",3.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0
"ko00000,ko02048,ko03000",3.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0
"ko00000,ko00002,ko01000,ko01002",3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
"ko00000,ko00001,ko01000,ko03029",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"ko00000,ko02022",3.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0
"ko00000,ko03016",3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0
"ko00000,ko00001,ko00002,ko01000,ko03400",3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0
"ko00000,ko03032",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"ko00000,ko00001,ko03021",3.0,4.0,2.0,8.0,2.0,5.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko00001,ko00002,ko01000,ko01002",3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"ko00000,ko03029,ko03036",3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
"ko00000,ko00001,ko00002,ko01000,ko03019,ko04147",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
"ko00000,ko00001,ko00002,ko01000,ko01009,ko04147",2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
"ko00000,ko01000,ko03032",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko01000,ko01004",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"br01601,ko00000,ko01000",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko00001,ko03012,ko03016,ko03019,ko04131,ko04147",2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko00001,ko00002,ko01000,ko01002,ko03051",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko00001,ko01000,ko03032,ko03400",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
"ko00000,ko03029,ko03110",2.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0
"br01610,ko00000,ko00001,ko00002,ko03011,ko04147",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ko00000,ko00001,ko00002,ko03019,ko04131,ko04147",2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
"ko00000,ko00001,ko02035",2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,2.0,0.0,0.0
"ko00000,ko01000,ko01002,ko01011",2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0
"ko00000,ko00001,ko00002,ko01000,ko03032",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko03009,ko03021",2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko00001,ko03032",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko03012",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko01000,ko02000",2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ko00000,ko01002",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"ko00000,ko00001,ko03000,ko03021",2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
"ko00000,ko01000,ko03009,ko03016",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ko00000,ko00001,ko01000,ko01001,ko03009",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ko00000,ko00001,ko00002,ko03000,ko03032,ko03400",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ko00000,ko00001,ko01000,ko02048,ko03016,ko03029",1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
"br01602,ko00000,ko00001,ko00002",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"ko00000,ko00001,ko00002,ko01000,ko02022,ko02035",1.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
"ko00000,ko02048,ko03036,ko04812",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
