,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
5.3.2.6,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0
3.6.3.8,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
3.1.3.16,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"1.3.1.101,1.3.7.11,1.5.5.1",2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
3.5.4.1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
1.21.98.3,2.0,1.0,2.0,4.0,0.0,1.0,7.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0
2.5.1.74,2.0,2.0,2.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0
5.4.2.12,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1.1.1.3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3.6.1.55,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
5.1.3.2,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0
6.4.1.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2.3.1.31,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
2.5.1.47,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0
3.4.22.70,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0
6.3.2.9,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
