,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
28,M00793,5.0,6.0,6.0,4.0,6.0,6.0
0,,,,,,,
3,M00254,22.0,17.0,17.0,20.0,15.0,15.0
10,M00240,10.0,8.0,8.0,4.0,3.0,0.0
102,"M00116,M00117",1.0,0.0,0.0,1.0,0.0,0.0
