,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
79,"3.A.1,3.A.1.106,3.A.1.109,3.A.1.21",0.0,1.0,1.0,0.0,1.0,1.0
0,,,,,,,
0,3.A.1,38.0,37.0,37.0,34.0,23.0,28.0
1,3.A.1.14,11.0,9.0,9.0,4.0,3.0,0.0
