,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
84,909932|Negativicutes,0.0,1.0,1.0,0.0,2.0,3.0
0,,,,,,,
0,183925|Methanobacteria,1444.0,1429.0,1431.0,1337.0,1276.0,1311.0
