,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
0,ko00000,279.0,288.0,290.0,241.0,250.0,256.0
8,"ko00000,ko03000",24.0,26.0,26.0,13.0,18.0,18.0
37,"ko00000,ko00001,ko00002,ko01000,ko01006",4.0,5.0,5.0,4.0,8.0,5.0
0,,,,,,,
1,"ko00000,ko00001,ko00002,ko01000",245.0,242.0,242.0,230.0,224.0,227.0
4,"ko00000,ko01000",56.0,51.0,51.0,39.0,37.0,37.0
7,"ko00000,ko00001,ko00002,ko02000",41.0,40.0,40.0,21.0,20.0,20.0
11,"ko00000,ko00001",20.0,18.0,18.0,20.0,16.0,17.0
60,"ko00000,ko03029,ko03036",3.0,2.0,2.0,1.0,0.0,0.0
