,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
0,,,,,,,
6,hcp,3.0,2.0,2.0,2.0,1.0,1.0
7,parA,3.0,2.0,2.0,1.0,0.0,0.0
213,hdrB-1,1.0,0.0,0.0,1.0,0.0,0.0
214,hdrC-1,1.0,0.0,0.0,1.0,0.0,0.0
