,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
0,,,,,,,
5,"ko00680,map00680",16.0,13.0,13.0,17.0,14.0,15.0
72,"ko03420,ko03430,map03420,map03430",3.0,2.0,2.0,2.0,0.0,0.0
77,"ko05143,map05143",2.0,1.0,1.0,2.0,1.0,1.0
