,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
0,,,,,,,
7,R11931,5.0,2.0,2.0,7.0,3.0,5.0
19,R00143,3.0,2.0,2.0,2.0,1.0,1.0
108,"R04990,R04993,R06859,R08774,R09736",2.0,1.0,1.0,1.0,0.0,0.0
