,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
0,,,,,,,
3,RC00011,15.0,12.0,12.0,16.0,12.0,13.0
24,RC02797,3.0,2.0,2.0,2.0,1.0,1.0
97,"RC00003,RC01253,RC01662",2.0,1.0,1.0,1.0,0.0,0.0
