,Unnamed: 0,MoH,M2,MK4,AL-21,SMA-27,VT
0,,,,,,,
7,1.8.7.3,5.0,2.0,2.0,7.0,3.0,5.0
11,3.6.4.12,4.0,3.0,3.0,5.0,1.0,3.0
29,1.7.99.1,3.0,2.0,2.0,2.0,1.0,1.0
